"Previously, we showed that tumor cell-derived microparticles induce an M2 phenotype characterized by immunosuppression in tumor-infiltrating macrophages.",tumor cell-derived microparticles,induce,an M2 phenotype,tumor cell-derived microparticles,induce,an M2 phenotype,31649305,2019,Cellular & Molecular Immunology,"Clinical Immunology Center, Chinese Academy of Medical Sciences, 100005, Beijing, China. tjhuangbo@hotmail.com."
Here we show that polysaccharides obtained from soil bacteria inhibit sucrose-induced hyperglycemia in an in vivo silkworm evaluation system.,polysaccharides,inhibit,sucrose-induced hyperglycemia,polysaccharides,inhibit,sucrose-induced hyperglycemia,30146618,2018,J Stage,Teikyo University Institute of Medical Mycology.
human LAMP1 and LAMP2 bind cholesterol in a manner that buries the cholesterol 3β-hydroxyl group,LAMP1 and LAMP2,bind,cholesterol,LAMP1 and LAMP2,bind,cholesterol,27664420,2016,eLife,"Department of Biochemistry, Stanford University School of Medicine, Stanford, United States."
"Many ubiquitin-binding domains bind ubiquitin preferentially and, to a lesser extent, NEDD8.",ubiquitin-binding domains,bind,ubiquitin,ubiquitin-binding domains,bind,ubiquitin,30659753,2019,Wiley,"DIPO, Dipartimento di Oncologia ed Emato-oncologia, University of Milan, Italy."
a template mechanism exists in which both inhibitor and enzyme bind to the same heparin molecule.,inhibitor and enzyme,bind to,heparin molecule,inhibitor and enzyme,bind to,heparin molecule,22566220,2012,SpringerLink,"National Institute for Biological Standards and Control, Potter's Bar, Hertfordshire, UK. Elaine.Gray@nibsc.hpa.org.uk"
The others inhibit the generation of amadori products in the advanced phase.,The others,inhibit,the generation,The others,inhibit,the generation,31336468,2019,Elsevier,"Department of Clinical Biochemistry, Medical School, Hamadan University of Medical Sciences, Hamadan, Iran. Electronic address: mt.goodarzi@umsha.ac.ir."
the alpha 2-adrenergic agonists such as clonidine and alpha-methyldopa abolish flushes during treatment with GnRH agonists.,the alpha 2-adrenergic agonists,abolish,flushes,clonidine and alpha-methyldopa,abolish,flushes,7713285,1994,Elsevier,Unknown
"Hypoxia abolishes the evoked field potential within about 3 min, a time similar to that occurring in vivo",Hypoxia,abolishes,field potential,Hypoxia,abolishes,field potential,219184,1979,The Journal of Physiology,Unknown
"We show that the progestins bind to the androgen receptor with similar affinities to each other and progesterone,",progestins,bind to,the androgen receptor,,bind to,the androgen receptor,28711501,2017,Elsevier,"Department of Biochemistry, University of Stellenbosch, Private Bag X1, Matieland 7602, South Africa. Electronic address: drho@sun.ac.za."
Ginseng pectins selectively inhibit the ROS/ERK pathway.,Ginseng pectins,inhibit,the ROS/ERK pathway,Ginseng pectins,inhibit,the ROS/ERK pathway,31151509,2019,Elsevier,"School of Life Sciences, Northeast Normal University, 5268 Renmin Street, 130024, Changchun, China. Electronic address: taigh477@nenu.edu.cn."
Amino acid substitution mutations within a PMS2 C-terminal 721QRLIAP motif attenuate or abolish human MutLα interaction with PCNA,Amino acid substitution mutations,abolish,human MutLα interaction,Amino acid substitution mutations,abolish,MutLα interaction,28439008,2017,PNAS,"Department of Biochemistry, Duke University Medical Center, Durham, NC 27710; modrich@biochem.duke.edu."
"Many treatments reduce or abolish the action of this muscle, enhancing the appearance of the glabellar area.",treatments,abolish,the action,treatments,abolish,the action,18835209,2008,Elsevier,"Service de chirurgie plastique et reconstructrice, hôpital Roger-Salengro, CHRU de Lille, boulevard du Professeur-Emile-Laine, 59037 Lille cedex, France. bartolincaroline@yahoo.fr"
Inhibitors of the respiratory chain abolish the oxygen response but do not affect the light response.,Inhibitors,abolish,the oxygen response,chain,abolish,the oxygen response,4524635,1974,PMC,Unknown
Mutations of the mouse Lps locus abolish responses to lipopolysaccharide,Mutations,abolish,responses,Mutations,abolish,responses,10679411,2000,Elsevier,"Department of Internal Medicine, Howard Hughes Medical Institute, University of Texas Southwestern Medical Center, Dallas, TX 75235-9050, USA. beutler@howie.swmed.edu"
"ANXA4 and ANXA5 induce cooperative roll-up of the membrane starting from free edges, producing large rolls.",ANXA4 and ANXA5,induce,roll-up,ANXA4 and ANXA5,induce,roll-up,29985397,2018,NPG,"Department of Physics, Chemistry and Pharmacy, University of Southern Denmark, Odense, Denmark. adam@memphys.sdu.dk."
These molecules activate different signaling pathways and produce different physiological responses which can be taken advantage of for sepsis modeling.,molecules,activate,signaling pathways,molecules,activate,signaling pathways,31491842,2019,MDPI,"Department of Anesthesia, Pain Management and Perioperative Medicine, Dalhousie University, Halifax, NS B3H 4R2, Canada. chlehmann@dal.ca."
"acute myeloid leukemia cells, but not normal CD34+ or CD33+ cells, induce osteogenic differentiation in mesenchymal stromal cells",leukemia cells,induce,osteogenic differentiation,CD34+ or CD33+ cells,induce,osteogenic differentiation,28679949,2017,JCL insight,"Department of Hematopathology, University of Texas MD Anderson Cancer Center, Houston, Texas, USA."
"beta-blockers abolish the morning peak, and aspirin reduces morning infarctions.",beta-blockers,abolish,the morning peak,beta-blockers,abolish,the morning peak,1818781,1991,Taylor&Francis,"Department of Cardiology, Royal Brompton National Heart and Lung Hospital, London, U.K."
ANXA1 and ANXA2 induce membrane folding and blebbing initiated from membrane structural defects inside patches,ANXA1 and ANXA2,induce,membrane folding and blebbing,ANXA1 and ANXA2,induce,membrane folding and blebbing,30065191,2018,MDPI,"Departamento de Ciencias Fisiológicas, Facultad de Ciencias Biológicas, Pontificia Universidad Católica de Chile, Alameda 340, Santiago 7820436, Chile. rmoreno@bio.puc.cl."
These molecules bind specifically and reversibly to the aptamers with high affinity and induce a conformational change.,molecules,bind to,the aptamers,molecules,bind,reversibly,30940810,2019,NPG,"Chemical Biology Laboratory, National Cancer Institute, Frederick, MD, 21701, USA. schneeklothjs@mail.nih.gov."
