"HDACIs potently inhibit survival of MYC-driven MB cells in vitro, in part by inducing expression of the FOXO1 tumor suppressor gene.",HDACIs,inhibit,survival,26977882,2016,CellPress," Tumor Initiation and Maintenance Program, NCI-Designated Cancer Center, Sanford Burnham Prebys Medical Discovery Institute, La Jolla, CA 92037, USA. Electronic address: rwreya@sbpdiscovery.org."
Menadione activated full-length recombinant human heme oxygenase-2 as effectively as rat brain enzyme.,Menadione,activated,human heme oxygenase-2,31471614,2019,PMC,"Department of Pharmacology, Weill Cornell Medicine, Cornell University, New York, NY, USA. srj2003@med.cornell.edu."
previous work found that striped surrounds under certain conditions do not induce color assimilation but induce color contrast,striped surrounds,induce,color contrast,30767390,2019,PMC,"Department of Clinical Chemistry and Laboratory Medicine, Leiden University Medical Center, Leiden, The Netherlands."
"Here, we report the discovery of a class of synthetic small molecules that bind to PreQ1 riboswitch aptamers.",molecules,bind to,PreQ1 riboswitch aptamers,29444450,2018,Elsevier,"Vanderbilt University School of Medicine, Department of Biochemistry, 2215 Garland Ave., 607 Light Hall, Nashville, TN, 37232-0146, USA. Electronic address: stephen.fesik@vanderbilt.edu."
alterations of the G patch abolish formation of the PINX1/Prp43p complex and the stimulation of Prp43p.,alterations,abolish,formation,24823796,2014,Oxford Academic,"Equipe labellisée Ligue Contre le Cancer, LBME, CNRS and Toulouse University, Toulouse 31062, France henry@ibcg.biotoul.fr."
BPA and NP induce apoptosis in prostate and ovary cancer cell lines,BPA and NP,induce,apoptosis,30347096,2018,JOV,"Computer Vision Center, Computer Science Department, Universitat Autonoma de Barcelona, Barcelona, Spain."
Progestins used in endocrine therapies bind to multiple steroid receptors and are associated with several side-effects.,Progestins,bind to,steroid receptors,28711501,2017,Elsevier,"Department of Biochemistry, University of Stellenbosch, Private Bag X1, Matieland 7602, South Africa. Electronic address: drho@sun.ac.za."
"The antinausea drugs, cinnarizine and metoclopramide, do not bind to α-synuclein, whereas amphetamine and the herbicides, paraquat and rotenone, bind tightly and cause α-synuclein to adopt a more compact conformation.","amphetamine and the herbicides, paraquat and rotenone",bind to,α-synuclein,26378986,2015,ACS,"Department of Biochemistry, University of Saskatchewan , 107 Wiggins Road, Saskatoon, Canada , S7N 0W0."
"Oncogenes induce premature S phase, resulting in replication-transcription conflicts and replication stress.",Oncogenes,induce,S phase,29985397,2018,NPG,"Department of Physics, Chemistry and Pharmacy, University of Southern Denmark, Odense, Denmark. adam@memphys.sdu.dk."
Some of these plants inhibit the production of shiff base and amadori products.,plants,inhibit,the production,31336468,2019,Elsevier,"Department of Clinical Biochemistry, Medical School, Hamadan University of Medical Sciences, Hamadan, Iran. Electronic address: mt.goodarzi@umsha.ac.ir."
Type I inhibitors bind to the active protein kinase conformation,Type I inhibitors,bind to,protein kinase conformation,26529477,2016,Elsevier,"Blue Ridge Institute for Medical Research, 3754 Brevard Road, Suite 116, Box 19, Horse Shoe, NC 28742-8814, United States. Electronic address: rrj@brimr.org."
"Overall, our findings indicate that various kinds of concepts differently activate the mouth and hand effectors",kinds,activate,the mouth and hand effectors,30568852,2018,PeerJ,"Institute of Cognitive Sciences and Technologies, Italian National Research Council, Rome, Italy."
"CDK and the meiosis-specific kinase Ime2 cooperatively inhibit helicase loading, and their simultaneous inhibition allows inappropriate helicase reloading.",CDK and the meiosis-specific kinase Ime2,inhibit,helicase loading,29388912,2018,eLife,"Department of Genetics and Development, Columbia University Medical Center, New York, United States."
ES2-14 treatments inhibit appressorium formation and reduce lesion sizes caused by Magnaporthe oryzae Inhibition of EXO70 by ES2-14 in Botrytis cinerea also reduces its virulence in Arabidopsis.,ES2-14 treatments,inhibit,appressorium formation,31072814,2019,Plant Physiol,"Department of Botany and Plant Pathology, Purdue University, West Lafayette, Indiana 47907 zhang150@purdue.edu."
IL-2 and IL-7 family cytokines activate the STAT5 pathway that induces survival of ILC2s and enhances cytokine production.,IL-2 and IL-7 family cytokines,activate,the STAT5 pathway,31082387,2019,Elsevier,"Division of Allergy and Immunology, Department of Medicine, and the Department of Otolaryngology, Northwestern University Feinberg School of Medicine, Chicago, IL. Electronic address: a-kato@northwestern.edu."
These compounds do not drive paradoxical pathway activation and inhibit MEK/ERK in BRAF and NRAS mutant melanoma.,compounds,inhibit,MEK/ERK,25500121,2015,CellPress,"Cancer Research UK Cancer Therapeutics Unit, The Institute of Cancer Research, London SM2 5NG, UK. Electronic address: caroline.springer@icr.ac.uk."
Vagotomy and administering propantheline bromide abolish the increased acid secretion after such lesions,Vagotomy and administering propantheline bromide,abolish,acid secretion,2863896,1985,PMC,Unknown
"Here, we show that REF6 preferentially bind to hypo-methylated CTCTGYTY motifs in vivo",REF6,bind to,CTCTGYTY motifs,31048693,2019,PMC,"Center for Excellence in Molecular Plant Sciences, Chinese Academy of Sciences, Beijing, 100101, China. xfcao@genetics.ac.cn."
